utc_time,pst_time,unix_time,wspd,wspd_flg,wdir,wdir_flg,at,at_flg,rh,rh_flg,sr_1,sr1_flg,sr_2,baro,baro_flg,rain,rain_flg,evapo,evapo_flg,dp,dp_flg,vbatt,bit,wgst,wgst_flg
2011-09-28T17:49:14Z,2011-09-28 10:49:14,1317232154,3.7,1,263,1,31.6,1,88,1,-24986,4,3239,1013.5,1,0,1,0.778,4,29.5,1,14.6,60000,10.28,1
2011-09-28T17:50:14Z,2011-09-28 10:50:14,1317232214,4,1,263,1,31.5,1,88,1,-24986,4,3239,1013.5,1,0,1,0.752,4,29.4,1,14.6,60000,10.35,1
2011-09-28T17:51:14Z,2011-09-28 10:51:14,1317232274,3.9,1,266,1,31.3,1,87,1,-24986,4,3239,1013.5,1,0,1,0.759,4,29.2,1,14.6,60000,10.71,1
2011-09-28T17:52:14Z,2011-09-28 10:52:14,1317232334,3.7,1,265,1,31.2,1,87,1,-24986,4,3239,1013.5,1,0,1,0.75,4,29.1,1,14.6,60000,10.3,1
2011-09-28T17:53:14Z,2011-09-28 10:53:14,1317232394,3.5,1,267,1,31.1,1,87,1,-24986,4,3239,1013.5,1,0,1,0.766,4,29,1,14.6,60000,9.36,1
2011-09-28T17:54:14Z,2011-09-28 10:54:14,1317232454,3.5,1,268,1,31,1,87,1,-24986,4,3239,1013.5,1,0,1,0.767,4,28.9,1,14.6,60000,9.06,1
2011-09-28T17:55:14Z,2011-09-28 10:55:14,1317232514,2.8,1,268,1,31,1,87,1,-24986,4,3239,1013.5,1,0,1,0.807,4,28.8,1,14.6,60000,8.04,1
2011-09-28T17:56:14Z,2011-09-28 10:56:14,1317232574,3.1,1,267,1,30.9,1,87,1,-24986,4,3239,1013.5,1,0,1,0.794,4,28.7,1,14.6,60000,8.55,1
2011-09-28T17:57:14Z,2011-09-28 10:57:14,1317232634,3.1,1,267,1,30.9,1,87,1,-24986,4,3239,1013.5,1,0,1,0.785,4,28.7,1,14.6,60000,8.31,1
2011-09-28T17:58:14Z,2011-09-28 10:58:14,1317232694,3.4,1,266,1,30.8,1,87,1,-24986,4,3239,1013.5,1,0,1,0.779,4,28.5,1,14.6,60000,9.46,1
2011-09-28T17:59:14Z,2011-09-28 10:59:14,1317232754,3.3,1,265,1,30.7,1,87,1,-24986,4,3239,1013.5,1,0,1,0.8,4,28.5,1,14.6,60000,9,1
2011-09-28T18:00:14Z,2011-09-28 11:00:14,1317232814,3.3,1,265,1,30.7,1,87,1,-24986,4,3239,1013.5,1,0,1,0.799,4,28.4,1,14.6,60000,8.95,1
